# i,xi[i],phi_tmp[i], Ares, rho, dAres, drho
0, 0.004747474747474748, -0.12364447474864759, [-5.98172302], [21146.16997993], [-5.98060912 -5.98283803], [10.]
1, 0.9952525252525253, -4.529051272725294, [-5.98172302], [21146.16997993], [-5.98269169 -5.98075398], [10.]
0, 0.0048484848484848485, -0.12354078604484675, [-5.98127803], [21146.16997993], [-5.98016429 -5.98239288], [10.]
1, 0.9951515151515151, -4.528933150775133, [-5.98127803], [21146.16997993], [-5.98224686 -5.98030884], [10.]
0, 0.004949494949494949, -0.12343707148960537, [-5.98083304], [21146.16997993], [-5.97971947 -5.98194773], [10.]
1, 0.9950505050505051, -4.528815021530663, [-5.98083304], [21146.16997993], [-5.98180203 -5.97986369], [10.]
0, 0.00505050505050505, -0.12333333109982414, [-5.98038805], [21146.16997993], [-5.97927464 -5.98150258], [10.]
1, 0.9949494949494949, -4.52869688498625, [-5.98038805], [21146.16997993], [-5.98135719 -5.97941855], [10.]
0, 0.005151515151515152, -0.12322956486236958, [-5.97994307], [21146.16997993], [-5.97882982 -5.98105744], [10.]
1, 0.9948484848484849, -4.528578741150355, [-5.97994307], [21146.16997993], [-5.98091236 -5.97897341], [10.]
0, 0.0052525252525252525, -0.12312577278568826, [-5.97949808], [21146.16997993], [-5.97838499 -5.98061229], [10.]
1, 0.9947474747474747, -4.528460590029546, [-5.97949808], [21146.16997993], [-5.98046753 -5.97852827], [10.]
0, 0.005353535353535353, -0.12302195485570921, [-5.9790531], [21146.16997993], [-5.97794017 -5.98016715], [10.]
1, 0.9946464646464647, -4.528342413888405, [-5.9790531], [21146.16997993], [-5.9800227  -5.97808314], [10.]
0, 0.005454545454545455, -0.12291811108650963, [-5.97860812], [21146.16997993], [-5.97749535 -5.979722  ], [10.]
1, 0.9945454545454545, -4.528224248200612, [-5.97860812], [21146.16997993], [-5.97957788 -5.977638  ], [10.]
0, 0.005555555555555556, -0.12281424146871212, [-5.97816314], [21146.16997993], [-5.97705053 -5.97927686], [10.]
1, 0.9944444444444445, -4.528106075227928, [-5.97816314], [21146.16997993], [-5.97913305 -5.97719287], [10.]
0, 0.0056565656565656566, -0.12271034600888564, [-5.97771816], [21146.16997993], [-5.97660572 -5.97883172], [10.]
1, 0.9943434343434343, -4.527987894976921, [-5.97771816], [21146.16997993], [-5.97868823 -5.97674773], [10.]
0, 0.005757575757575757, -0.12260642471173222, [-5.97727319], [21146.16997993], [-5.9761609  -5.97838659], [10.]
1, 0.9942424242424243, -4.527869707440082, [-5.97727319], [21146.16997993], [-5.97824341 -5.9763026 ], [10.]
0, 0.005858585858585858, -0.12250245984182095, [-5.97682821], [21146.16997993], [-5.97571609 -5.97794145], [10.]
1, 0.9941414141414141, -4.527751512617423, [-5.97682821], [21146.16997993], [-5.97779859 -5.97585747], [10.]
0, 0.00595959595959596, -0.12239848686814803, [-5.97638324], [21146.16997993], [-5.97527128 -5.97749631], [10.]
1, 0.9940404040404041, -4.527633310533355, [-5.97638324], [21146.16997993], [-5.97735377 -5.97541234], [10.]
0, 0.006060606060606061, -0.1222944880411947, [-5.97593826], [21146.16997993], [-5.97482646 -5.97705118], [10.]
1, 0.9939393939393939, -4.52751510116253, [-5.97593826], [21146.16997993], [-5.97690895 -5.97496722], [10.]
0, 0.006161616161616161, -0.12219046336940709, [-5.97549329], [21146.16997993], [-5.97438165 -5.97660605], [10.]
1, 0.9938383838383839, -4.527396884520906, [-5.97549329], [21146.16997993], [-5.97646413 -5.97452209], [10.]
0, 0.006262626262626263, -0.12208641285655109, [-5.97504832], [21146.16997993], [-5.97393685 -5.97616092], [10.]
1, 0.9937373737373737, -4.527278660613188, [-5.97504832], [21146.16997993], [-5.97601932 -5.97407697], [10.]
0, 0.006363636363636364, -0.12198233651653334, [-5.97460336], [21146.16997993], [-5.97349204 -5.97571579], [10.]
1, 0.9936363636363637, -4.527160429448589, [-5.97460336], [21146.16997993], [-5.9755745  -5.97363184], [10.]
0, 0.006464646464646465, -0.12187823431214051, [-5.97415839], [21146.16997993], [-5.97304723 -5.97527066], [10.]
1, 0.9935353535353535, -4.527042190998344, [-5.97415839], [21146.16997993], [-5.97512969 -5.97318672], [10.]
0, 0.0065656565656565654, -0.12177410625729035, [-5.97371342], [21146.16997993], [-5.97260243 -5.97482553], [10.]
1, 0.9934343434343434, -4.52692394528952, [-5.97371342], [21146.16997993], [-5.97468488 -5.9727416 ], [10.]
0, 0.006666666666666666, -0.12166995236700595, [-5.97326846], [21146.16997993], [-5.97215763 -5.97438041], [10.]
1, 0.9933333333333333, -4.526805692310845, [-5.97326846], [21146.16997993], [-5.97424007 -5.97229649], [10.]
0, 0.006767676767676768, -0.12156579028658854, [-5.9728235], [21146.16997993], [-5.97171282 -5.97393528], [10.]
1, 0.9932323232323232, -4.526687432073604, [-5.9728235], [21146.16997993], [-5.97379526 -5.97185137], [10.]
0, 0.006868686868686869, -0.12146158468601165, [-5.97237854], [21146.16997993], [-5.97126802 -5.97349016], [10.]
1, 0.9931313131313131, -4.526569164575905, [-5.97237854], [21146.16997993], [-5.97335046 -5.97140625], [10.]
0, 0.0069696969696969695, -0.12135735323592156, [-5.97193358], [21146.16997993], [-5.97082323 -5.97304504], [10.]
1, 0.993030303030303, -4.526450889819632, [-5.97193358], [21146.16997993], [-5.97290565 -5.97096114], [10.]
0, 0.007070707070707071, -0.12125309594570988, [-5.97148862], [21146.16997993], [-5.97037843 -5.97259992], [10.]
1, 0.9929292929292929, -4.526332607813238, [-5.97148862], [21146.16997993], [-5.97246085 -5.97051603], [10.]
0, 0.007171717171717172, -0.12114881280504974, [-5.97104366], [21146.16997993], [-5.96993363 -5.9721548 ], [10.]
1, 0.9928282828282828, -4.526214318549211, [-5.97104366], [21146.16997993], [-5.97201605 -5.97007091], [10.]
0, 0.007272727272727273, -0.12104450381674692, [-5.97059871], [21146.16997993], [-5.96948884 -5.97170969], [10.]
1, 0.9927272727272727, -4.52609603968504, [-5.97059871], [21146.16997993], [-5.97157124 -5.9696258 ], [10.]
0, 0.0073737373737373735, -0.12094016898833182, [-5.97015375], [21146.16997993], [-5.96904405 -5.97126457], [10.]
1, 0.9926262626262626, -4.5259777359095015, [-5.97015375], [21146.16997993], [-5.97112644 -5.9691807 ], [10.]
0, 0.007474747474747474, -0.12083580830664298, [-5.9697088], [21146.16997993], [-5.96859925 -5.97081946], [10.]
1, 0.9925252525252525, -4.525859424885715, [-5.9697088], [21146.16997993], [-5.97068165 -5.96873559], [10.]
0, 0.007575757575757576, -0.12073142178295493, [-5.96926385], [21146.16997993], [-5.96815446 -5.97037435], [10.]
1, 0.9924242424242424, -4.525741106611807, [-5.96926385], [21146.16997993], [-5.97023685 -5.96829048], [10.]
0, 0.007676767676767677, -0.12062700941162596, [-5.9688189], [21146.16997993], [-5.96770968 -5.96992924], [10.]
1, 0.9923232323232323, -4.52562278109998, [-5.9688189], [21146.16997993], [-5.96979205 -5.96784538], [10.]
0, 0.0077777777777777776, -0.12052257119172838, [-5.96837395], [21146.16997993], [-5.96726489 -5.96948413], [10.]
1, 0.9922222222222222, -4.525504448338035, [-5.96837395], [21146.16997993], [-5.96934726 -5.96740028], [10.]
0, 0.00787878787878788, -0.12041810712700318, [-5.967929], [21146.16997993], [-5.9668201  -5.96903902], [10.]
1, 0.9921212121212121, -4.525386108343799, [-5.967929], [21146.16997993], [-5.96890247 -5.96695518], [10.]
0, 0.00797979797979798, -0.12031361721370226, [-5.96748406], [21146.16997993], [-5.96637532 -5.96859391], [10.]
1, 0.992020202020202, -4.5252677611088306, [-5.96748406], [21146.16997993], [-5.96845768 -5.96651008], [10.]
0, 0.00808080808080808, -0.12020910145933206, [-5.96703911], [21146.16997993], [-5.96593053 -5.96814881], [10.]
1, 0.9919191919191919, -4.525149406638757, [-5.96703911], [21146.16997993], [-5.96801289 -5.96606498], [10.]
0, 0.008181818181818182, -0.120104559851685, [-5.96659417], [21146.16997993], [-5.96548575 -5.9677037 ], [10.]
1, 0.9918181818181818, -4.525031044932639, [-5.96659417], [21146.16997993], [-5.9675681  -5.96561988], [10.]
0, 0.008282828282828282, -0.1199999923982693, [-5.96614923], [21146.16997993], [-5.96504097 -5.9672586 ], [10.]
1, 0.9917171717171717, -4.524912675997987, [-5.96614923], [21146.16997993], [-5.96712331 -5.96517478], [10.]
0, 0.008383838383838384, -0.11989539910001934, [-5.96570429], [21146.16997993], [-5.96459619 -5.9668135 ], [10.]
1, 0.9916161616161616, -4.524794299828221, [-5.96570429], [21146.16997993], [-5.96667853 -5.96472969], [10.]
0, 0.008484848484848484, -0.11979077994755105, [-5.96525935], [21146.16997993], [-5.96415142 -5.9663684 ], [10.]
1, 0.9915151515151515, -4.5246759164346155, [-5.96525935], [21146.16997993], [-5.96623374 -5.9642846 ], [10.]
0, 0.008585858585858586, -0.11968613495587954, [-5.96481441], [21146.16997993], [-5.96370664 -5.9659233 ], [10.]
1, 0.9914141414141414, -4.524557525819979, [-5.96481441], [21146.16997993], [-5.96578896 -5.9638395 ], [10.]
0, 0.008686868686868687, -0.11958146411279857, [-5.96436948], [21146.16997993], [-5.96326186 -5.9654782 ], [10.]
